"SPEAKER","SENTENCE","DATAID","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스",""
"고객","여기 자크 두 개 있는데 이쪽으로 들어가는 게 여기로 들어가는 거랑 달라요?","허정화_가방_5","B","의복의류점","가방","1","30","제품사용방법문의","","Q","","여기 자크 두 개 있는데 이쪽으로 들어가는 게 여기로 들어가는 거랑 달라요?","","","","여기, 자크, 두 개, 이쪽, 여기","","자크/부분, 두 개/수량",""
"점원","네 달라요 그거는 안에 물통이 없어요","허정화_가방_5","B","의복의류점","가방","0","31","제품사용방법문의","","A","","","","","네 달라요 그거는 안에 물통이 없어요","그거, 안, 물통","","",""
"고객","계속 30% 하시는 거예요?","허정화_가방_5","B","의복의류점","가방","1","32","세일기간문의","","Q","","계속 30% 하시는 거예요?","","","","계속, 30%","","30%/할인율",""
"점원","이거는 반품 들어갈 때까지 세일해요","허정화_가방_5","B","의복의류점","가방","0","33","세일기간문의","","A","","","","","이거는 반품 들어갈 때까지 세일해요","이거, 반품, 세일","","",""
"고객","이 구찌 모양 잠깐 볼게요","허정화_가방_6","B","의복의류점","가방","1","1","진열제품문의","","Q","","이 구찌 모양 잠깐 볼게요","","","","구찌 모양","","구찌 모양/스타일",""
"점원","중간에 있는 것 말씀하시는 건가요?","허정화_가방_6","B","의복의류점","가방","0","2","진열제품문의","제품확인","Q","","","중간에 있는 것 말씀하시는 건가요?","","","중간","","중간/위치",""
"고객","네 이거는 정품이에요?","허정화_가방_6","B","의복의류점","가방","1","5","명품정품문의","","Q","","이거는 정품이에요?","","","","정품","","",""
"점원","그거는 짝퉁이에요","허정화_가방_6","B","의복의류점","가방","0","6","명품정품문의","","A","","","","","그거는 짝퉁이에요","짝퉁, 진짜","","",""
"고객","이 손잡이는 합성피혁인가요?","허정화_가방_6","B","의복의류점","가방","1","7","가방소재문의","","Q","","이 손잡이는 합성피혁인가요?","","","","손잡이, 합성피혁","","손잡이/부분, 합성피혁/재질",""
"점원","네","허정화_가방_6","B","의복의류점","가방","0","8","가방소재문의","","A","","","","","네","","","",""
"고객","이거는 가격 어떻게 해요?","허정화_가방_6","B","의복의류점","가방","1","9","제품가격문의","","Q","","이거는 가격 어떻게 해요?","","","","가격","","",""
"점원","그거 만 원요","허정화_가방_6","B","의복의류점","가방","0","10","제품가격문의","","A","","","","","그거 만 원요","만 원","","만 원/금액",""
"고객","저희 친정엄마 사드리려고 보고 있는 데 뭐가 좋을까요?","허정화_가방_6","B","의복의류점","가방","1","11","선물할대상에따른제품문의","","Q","","저희 친정엄마 사드리려고 보고 있는 데 뭐가 좋을까요?","","","","친정엄마","","친정엄마/대상",""
"점원","중간 것도 괜찮아요","허정화_가방_6","B","의복의류점","가방","0","12","선물할대상에따른제품문의","","A","","","","","중간 것도 괜찮아요","중간","","중간/위치",""
"고객","이거 끈도 달려있어요?","허정화_가방_6","B","의복의류점","가방","1","13","가방끈문의","","Q","","이거 끈도 달려있어요?","","","","끈","","끈/부품",""
"점원","아니요","허정화_가방_6","B","의복의류점","가방","0","14","가방끈문의","","A","","","","","아니요","","","",""
"고객","천으로 된 거네요?","허정화_가방_6","B","의복의류점","가방","1","15","가방소재문의","","Q","","천으로 된 거네요?","","","","천","","천/재질",""
"점원","네","허정화_가방_6","B","의복의류점","가방","0","16","가방소재문의","","A","","","","","네","","","",""
"고객","이거는 가격 어떻게 해요?","허정화_가방_6","B","의복의류점","가방","1","17","제품가격문의","","Q","","이거는 가격 어떻게 해요?","","","","가격","","",""
"점원","이것도 만원입니다","허정화_가방_6","B","의복의류점","가방","0","18","제품가격문의","","A","","","","","이것도 만원입니다","만원","","만원/금액",""
"고객","안에 바로 열고 닫고 되지 예?","허정화_가방_6","B","의복의류점","가방","1","19","제품사용방법문의","","Q","","안에 바로 열고 닫고 되지 예?","","","","안","","안/위치",""
"점원","네 어른들은 이런 걸 더 선호하세요","허정화_가방_6","B","의복의류점","가방","0","20","제품사용방법문의","","A","","","","","네 어른들은 이런 걸 더 선호하세요","어른, 선호","","어른/대상",""
"고객","이 보조가방은 천 만드신 거예요?","허정화_가방_6","B","의복의류점","가방","1","21","수제가방문의","","Q","","이 보조가방은 천 만드신 거예요?","","","","보조가방, 천","","",""
"점원","아니 직접 만든 건 아니에요","허정화_가방_6","B","의복의류점","가방","0","22","수제가방문의","","A","","","","","아니 직접 만든 건 아니에요","직접","","",""
"고객","이건 천 편물인가요?","허정화_가방_6","B","의복의류점","가방","1","23","가방소재문의","","Q","","이건 천 편물인가요?","","","","천, 편물","","",""
"점원","네","허정화_가방_6","B","의복의류점","가방","0","24","가방소재문의","","A","","","","","네","","","",""
"고객","그 백 메는 거예요?","허정화_가방_6","B","의복의류점","가방","1","25","제품종류문의","","Q","","그 백 메는 거예요?","","","","백팩, 종류","","",""
"점원","메는 거 아니에요 드는 거예요","허정화_가방_6","B","의복의류점","가방","0","26","제품종류문의","","A","","","","","메는 거 아니에요 드는 거예요","","","",""
"고객","저녁에는 몇 시까지 하시는 데예?","허정화_가방_6","B","의복의류점","가방","1","27","마감시간문의","","Q","","저녁에는 몇 시까지 하시는 데예?","","","","저녁","","",""
"점원","7시까지 해요","허정화_가방_6","B","의복의류점","가방","0","28","마감시간문의","","A","","","","","7시까지 해요","7시","","7시/마감시간",""
"고객","혹시 카드도 되나요?","허정화_가방_6","B","의복의류점","가방","1","29","결제방식문의","","Q","","혹시 카드도 되나요?","","","","카드","","카드/결제방식",""
"점원","카드는 안돼요","허정화_가방_6","B","의복의류점","가방","0","30","결제방식문의","","A","","","","","카드는 안돼요","카드","","카드/결제방식",""
"고객","온누리상품권은 받으시는 가요?","허정화_가방_6","B","의복의류점","가방","1","31","상품권사용문의","","Q","","온누리상품권은 받으시는 가요?","","","","온누리상품권","","온누리상/상품궘품권",""
"점원","안 받아요","허정화_가방_6","B","의복의류점","가방","0","32","상품권사용문의","","A","","","","","안 받아요","","","",""
"고객","애들 책가방 함보려고 하는데요","허정화_가방_7","B","의복의류점","가방","1","1","용도별가방요청문의","","Q","","애들 책가방 함보려고 하는데요","","","","애들, 책가방","","애들/대상, 책가방/제품",""
"점원","책가방 이쪽으로 보셔야 돼요","허정화_가방_7","B","의복의류점","가방","0","2","용도별가방요청문의","","A","","","","","책가방 이쪽으로 보셔야 돼요","책가방, 이쪽","","책가방/제품, 이쪽/위치",""
"고객","이거 지금 세일해요?","허정화_가방_7","B","의복의류점","가방","1","3","할인여부문의","","Q","","이거 지금 세일해요?","","","","이거, 지금, 세일","","",""
"점원","네 13만 9천 원짜리 9만 9천 원에 해드려요","허정화_가방_7","B","의복의류점","가방","0","4","할인여부문의","","A","","","","","네 13만 9천 원짜리 9만 9천 원에 해드려요","13만 9천 원, 9만 9천 원","","13만 9천 원/금액, 9만 9천 원/금액",""
"고객","중학생인데 가방 뭐가 좋을까요?","허정화_가방_7","B","의복의류점","가방","1","5","연령에따른제품추천문의","","Q","","중학생인데 가방 뭐가 좋을까요?","","","","중학생, 가방","","중학생/연령대, 가방/제품",""
"점원","이거는 잘 나가서 마지막 한 개 남았고 이것도 많이 해요","허정화_가방_7","B","의복의류점","가방","0","6","연령에따른제품추천문의","","A","","","","","이거는 잘 나가서 마지막 한 개 남았고 이것도 많이 해요","이거, 마지막, 한 개","","한 개/수량",""
"고객","이 가방은 어떻게 해요?","허정화_가방_7","B","의복의류점","가방","1","7","제품가격문의","","Q","","이 가방은 어떻게 해요?","","","","가방","","가방/제품",""
"점원","이것도 9만 9천 원이에요","허정화_가방_7","B","의복의류점","가방","0","8","제품가격문의","","A","","","","","이것도 9만 9천 원이에요","이것, 9만 9천 원","","9만 9천 원/금액",""
"고객","지금 다 세일하시는 거예요?","허정화_가방_7","B","의복의류점","가방","1","9","할인여부문의","","Q","","지금 다 세일하시는 거예요?","","","","지금, 다, 세일","","",""
"점원","그 제품만 세일하고 있어요","허정화_가방_7","B","의복의류점","가방","0","10","할인여부문의","","A","","","","","그 제품만 세일하고 있어요","제품, 세일","","",""
"점원","애들이 간혹 이거도 사 가는데 어떠세요?","허정화_가방_7","B","의복의류점","가방","0","11","연령에따른제품추천문의","제품추천","Q","","","애들이 간혹 이거도 사 가는데 어떠세요?","","","애들, 이거","","애들/대상",""
"고객","이거는 등산 가방하고 비슷하게 끈 달렸네","허정화_가방_7","B","의복의류점","가방","1","12","연령에따른제품추천문의","제품추천","A","","","","이거는 등산 가방하고 비슷하게 끈 달렸네","","이거, 등산 가방, 비슷, 끈","","등산 가방/제품, 끈/부품",""
"고객","이거는 세일 안 하네?","허정화_가방_7","B","의복의류점","가방","1","13","할인여부문의","","Q","","이거는 세일 안 하네?","","","","이거, 세일","","",""
"점원","원래 가방 세일 안 해요","허정화_가방_7","B","의복의류점","가방","0","14","할인여부문의","","A","","","","","원래 가방 세일 안 해요","원래, 가방, 세일","","가방/제품",""
"고객","여기 적립카드 이런 거 돼요?","허정화_가방_7","B","의복의류점","가방","1","15","포인트적립문의","","Q","","여기 적립카드 이런 거 돼요?","","","","여기, 적립카드, 이런 거","","",""
"점원","네 포인트 하나 만들면 만 원 할인돼요","허정화_가방_7","B","의복의류점","가방","0","16","포인트적립문의","","A","","","","","네 포인트 하나 만들면 만 원 할인돼요","포인트, 하나, 만 원, 할인","","하나/수량, 만 원/할인액",""
"고객","포인트 만들면 바로 만 원 할인돼요?","허정화_가방_7","B","의복의류점","가방","1","17","포인트적립문의","","Q","","포인트 만들면 바로 만 원 할인돼요?","","","","포인트, 바로, 만 원, 할인","","만 원/할인액",""
"점원","내일부터 적용돼요","허정화_가방_7","B","의복의류점","가방","0","18","포인트적립문의","","A","","","","","내일부터 적용돼요","내일, 적용","","내일/날짜",""
"고객","저 빨간색 천으로 돼있는 가방은 애들 소풍 가방으로 많이 쓰나요?","허정화_가방_7","B","의복의류점","가방","1","19","용도별가방요청문의","","Q","","저 빨간색 천으로 돼있는 가방은 애들 소풍 가방으로 많이 쓰나요?","","","","빨간색, 천, 가방, 애들, 소풍 가방","","빨간색/색상, 천/재질, 가방/제품, 애들/대상, 소풍 가방/제품",""
"점원","저 가방은 보조가방으로 써요","허정화_가방_7","B","의복의류점","가방","0","20","용도별가방요청문의","","A","","","","","저 가방은 보조가방으로 써요","가방, 보조가방","","가방/제품, 보조가방/제품",""
"고객","저 위에 거는 어떻게 하는데요?","허정화_가방_7","B","의복의류점","가방","1","21","제품가격문의","","Q","","저 위에 거는 어떻게 하는데요?","","","","","","",""
"점원","5만 9천 원이에요","허정화_가방_7","B","의복의류점","가방","0","22","제품가격문의","","A","","","","","5만 9천 원이에요","5만 9천 원","","5만 9천 원/금액",""
"고객","저녁에는 몇 시까지 하세요?","허정화_가방_7","B","의복의류점","가방","1","23","마감시간문의","","Q","","저녁에는 몇 시까지 하세요?","","","","저녁, 몇 시","","저녁/시간",""
"점원","저녁에는 9시 30까지 해요","허정화_가방_7","B","의복의류점","가방","0","24","마감시간문의","","A","","","","","저녁에는 9시 30까지 해요","저녁, 9시 30분","","저녁/시간, 9시 30분/마감시간",""
"고객","주차는 어디 대요?","허정화_가방_7","B","의복의류점","가방","1","25","주차장문의","","Q","","주차는 어디 대요?","","","","주차, 어디","","",""
"점원","주차는 8시 이후에는 요 앞에 하면 돼요","허정화_가방_7","B","의복의류점","가방","0","26","주차장문의","","A","","","","","주차는 8시 이후에는 요 앞에 하면 돼요","주차, 8시 이후","","8시 이후/시간",""
"고객","중학생인데 가방 어떤 거 많이 나가요?","허정화_가방_8","B","의복의류점","가방","1","1","연령에따른제품추천문의","","Q","","중학생인데 가방 어떤 거 많이 나가요?","","","","중학생, 가방","","중학생/연령대, 가방/제품",""
"점원","중학생 남자애인가요?","허정화_가방_8","B","의복의류점","가방","0","2","연령에따른제품추천문의","성별","Q","","","중학생 남자애인가요?","","","중학생, 남자애","","중학생/대상, 남자애/성별",""
"고객","여자예요","허정화_가방_8","B","의복의류점","가방","1","3","연령에따른제품추천문의","성별","A","","","","여자예요","","여자","","여자/성별",""
"점원","이거 잘 나가요","허정화_가방_8","B","의복의류점","가방","0","4","연령에따른제품추천문의","","A","1","","","","이거 잘 나가요","","","",""
"고객","연보라색이네요?","허정화_가방_8","B","의복의류점","가방","1","5","색상에대한문의","","Q","","연보라색이네요?","","","","연보라색","","연보라색/색상",""
"점원","네 이 색상이 잘 나가요","허정화_가방_8","B","의복의류점","가방","0","6","색상에대한문의","","A","","","","","네 이 색상이 잘 나가요","색상, 잘","","",""
"고객","이거 검정이 있어요?","허정화_가방_8","B","의복의류점","가방","1","7","색상에대한문의","","Q","","이거 검정이 있어요?","","","","이거, 검정","","검정/색상",""
"점원","네 있어요","허정화_가방_8","B","의복의류점","가방","0","8","색상에대한문의","","A","","","","","네 있어요","","","",""
"고객","끈하고 이런 거 혹시 as 되는 가요?","허정화_가방_8","B","의복의류점","가방","1","9","가방끈교체문의","","Q","","끈하고 이런 거 혹시 as 되는 가요?","","","","끈, 이런 거, as","","끈/부품",""
"점원","다 되죠","허정화_가방_8","B","의복의류점","가방","0","10","가방끈교체문의","","A","","","","","다 되죠","","","",""
"고객","이 가방 어떻게 해요?","허정화_가방_8","B","의복의류점","가방","1","11","제품가격문의","","Q","","이 가방 어떻게 해요?","","","","가방","","가방/제품",""
"점원","이거는 5만 9200원이요","허정화_가방_8","B","의복의류점","가방","0","12","제품가격문의","","A","","","","","이거는 5만 9200원이요","이거, 5만 9200원","","5만 9200원/금액",""
"고객","세일하시는 가요?","허정화_가방_8","B","의복의류점","가방","1","13","할인여부문의","","Q","","세일하시는 가요?","","","","세일","","",""
"점원","네","허정화_가방_8","B","의복의류점","가방","0","14","할인여부문의","","A","","","","","네","","","",""
"고객","몇%까지인데요?","허정화_가방_8","B","의복의류점","가방","1","15","할인율문의","","Q","","몇%까지인데요?","","","","몇%","","",""
"점원","그거는 20% 해드려요","허정화_가방_8","B","의복의류점","가방","0","16","할인율문의","","A","","","","","그거는 20% 해드려요","그거, 20%","","20%/할인율",""
"고객","이 재질이 천은 아니네?","허정화_가방_8","B","의복의류점","가방","1","17","가방소재문의","","Q","","이 재질이 천은 아니네?","","","","재질, 천","","천/재질",""
"점원","네","허정화_가방_8","B","의복의류점","가방","0","18","가방소재문의","","A","","","","","네","","","",""
"고객","방수되는 가요?","허정화_가방_8","B","의복의류점","가방","1","19","방수제품문의","","Q","","방수되는 가요?","","","","방수","","방수/기능",""
"점원","네","허정화_가방_8","B","의복의류점","가방","0","20","방수제품문의","","A","","","","","네","","","",""
"고객","작기도 작다 그죠?","허정화_가방_8","B","의복의류점","가방","1","21","가방사이즈에따른제품요청문의","","Q","","작기도 작다 그죠?","","","","","","",""
"점원","네","허정화_가방_8","B","의복의류점","가방","0","22","가방사이즈에따른제품요청문의","","A","","","","","네","","","",""
"고객","애들 옆으로 막 메는 거 이런 거는 어떻게 하는 데예?","허정화_가방_8","B","의복의류점","가방","1","23","제품가격문의","","Q","","애들 옆으로 막 메는 거 이런 거는 어떻게 하는 데예?","","","","애들, 옆","","애들/대상, 옆/위치",""
"점원","이거는 3만 9천 원입니다","허정화_가방_8","B","의복의류점","가방","0","24","제품가격문의","","A","","","","","이거는 3만 9천 원입니다","이거, 3만 9천 원","","3만 9천 원/금액",""
"고객","그 가격이 할인하신 거예요?","허정화_가방_8","B","의복의류점","가방","1","25","할인가격문의","","Q","","그 가격이 할인하신 거예요?","","","","가격, 할인","","",""
"점원","네 세일해서 그 가격입니다","허정화_가방_8","B","의복의류점","가방","0","26","할인가격문의","","A","","","","","네 세일해서 그 가격입니다","세일, 가격","","",""
"고객","여기 적립은 되는 가요?","허정화_가방_8","B","의복의류점","가방","1","27","포인트적립문의","","Q","","여기 적립은 되는 가요?","","","","여기, 적립카드","","",""
"점원","네 포인트 적립됩니다","허정화_가방_8","B","의복의류점","가방","0","28","포인트적립문의","","A","","","","","네 포인트 적립됩니다","포인트 적립","","",""
"고객","제품에 따라서 적립률이 다른가 보지 예?","허정화_가방_8","B","의복의류점","가방","1","29","포인트적립문의","","Q","","제품에 따라서 적립률이 다른가 보지 예?","","","","제품, 적립률","","",""
"점원","네 세일 많이 되는 거는 안 되는 것도 있고 정상 세일되는 거는 5%까지 됩니다","허정화_가방_8","B","의복의류점","가방","0","30","포인트적립문의","","A","","","","","네 세일 많이 되는 거는 안 되는 것도 있고 정상 세일되는 거는 5%까지 됩니다","세일, 정상 세일, 5%","","5%/할인율",""
"고객","여기 주차는 여기 앞에 하면 돼요?","허정화_가방_8","B","의복의류점","가방","1","31","주차장문의","","Q","","여기 주차는 여기 앞에 하면 돼요?","","","","여기, 주차, 여기, 앞","","",""
"점원","토, 일, 공휴일은 이 앞에 주차해도 되고 평일에는 저쪽에 해놓으시면 돼요","허정화_가방_8","B","의복의류점","가방","0","32","주차장문의","","A","","","","","토, 일, 공휴일은 이 앞에 주차해도 되고 평일에는 저쪽에 해놓으시면 돼요","토, 일, 공휴일, 앞, 주차, 평일, 저쪽","","토/요일, 일/요일, 공휴일/날짜, 앞/위치",""
"고객","요거는 가격 어떻게 해 예?","허정화_가방_9","B","의복의류점","가방","1","1","제품가격문의","","Q","","요거는 가격 어떻게 해 예?","","","","요거, 가격","","",""
"점원","35만 원까지 해드려요","허정화_가방_9","B","의복의류점","가방","0","2","제품가격문의","","A","","","","","35만 원까지 해드려요","35만 원","","35만 원/금액",""
"고객","세일하시는가요?","허정화_가방_9","B","의복의류점","가방","1","3","세일기간문의","","Q","","세일하시는가요?","","","","세일","","",""
"점원","세일은 겨울 부츠만 10프로 하고 있고요 세일은 안 해요","허정화_가방_9","B","의복의류점","가방","0","4","세일기간문의","","A","","","","","세일은 겨울 부츠만 10프로 하고 있고요 세일은 안 해요","세일, 겨울 부츠, 10프로, 세일","","겨울 부츠/제품, 10프로/할인율, 세일/행사",""
"고객","재질은 뭐라요?","허정화_가방_9","B","의복의류점","가방","1","5","가방소재문의","","Q","","재질은 뭐라요?","","","","재질","","",""
"점원","이거는 천연 소가죽이에요","허정화_가방_9","B","의복의류점","가방","0","6","가방소재문의","","A","","","","","이거는 천연 소가죽이에요","이거, 천연 소가죽","","천연 소가죽/재질",""
"고객","이 가방은 끈하고 손잡이가 같이 있는 건가요?","허정화_가방_9","B","의복의류점","가방","1","7","가방끈문의","","Q","","이 가방은 끈하고 손잡이가 같이 있는 건가요?","","","","가방, 끈, 손잡이, 같이","","가방/제품, 끈/부품, 손잡이/부분",""
"점원","네 이것은 같이 돼있어요","허정화_가방_9","B","의복의류점","가방","0","8","가방끈문의","","A","","","","","네 이것은 같이 돼있어요","","","",""
"고객","이런 가방이 진짜 편하던데 메봐도 되죠?","허정화_가방_9","B","의복의류점","가방","1","9","착용여부문의","","Q","","이런 가방이 진짜 편하던데 메봐도 되죠?","","","","가방","","가방/제품",""
"점원","네","허정화_가방_9","B","의복의류점","가방","0","10","착용여부문의","","A","","","","","네","","","",""
"고객","이거는 색깔이 뭐예요? 브라우닌데 조금 약간 핑크?","허정화_가방_9","B","의복의류점","가방","1","11","색상에대한문의","","Q","","이거는 색깔이 뭐예요? 브라우닌데 조금 약간 핑크?","","","","이거, 색깔, 브라우니, 핑크","","브라우니/색상, 핑크/색상",""
"점원","밀크 브라운입니다","허정화_가방_9","B","의복의류점","가방","0","12","색상에대한문의","","A","","","","","밀크 브라운입니다","밀크 브라운","","밀크 브라운/색상",""
"고객","이 가방은 어떻게 해요?","허정화_가방_9","B","의복의류점","가방","1","13","제품가격문의","","Q","","이 가방은 어떻게 해요?","","","","가방","","가방/제품",""
"점원","이거는 39만 원입니다","허정화_가방_9","B","의복의류점","가방","0","14","제품가격문의","","A","","","","","이거는 39만 원입니다","이거, 39만 원","","39만 원/금액",""
"고객","이거 소품인데 세일 안 돼 예?","허정화_가방_9","B","의복의류점","가방","1","15","할인여부문의","","Q","","이거 소품인데 세일 안 돼 예?","","","","이거, 소품, 세일","","",""
"점원","네 세일은 안 해요","허정화_가방_9","B","의복의류점","가방","0","16","할인여부문의","","A","","","","","네 세일은 안 해요","세일","","세일/행사",""
"고객","이거 각이 딱 잡혀있어요?","허정화_가방_9","B","의복의류점","가방","1","17","제품디자인문의","","Q","","이거 각이 딱 잡혀있어요?","","","","이거, 각","","",""
"점원","아니요 각 잡히는 디자인은 아니에요","허정화_가방_9","B","의복의류점","가방","0","18","제품디자인문의","","A","","","","","아니요 각 잡히는 디자인은 아니에요","각, 디자인","","",""
"고객","여기 혹시 무이자는 되는가요?","허정화_가방_9","B","의복의류점","가방","1","19","무이자할부요구","","Q","","여기 혹시 무이자는 되는가요?","","","","여기, 무이자","","",""
"점원","무이자는 신한과 현대카드 돼요","허정화_가방_9","B","의복의류점","가방","0","20","무이자할부요구","","A","","","","","무이자는 신한과 현대카드 돼요","무이자, 신한, 현대카드","","신한/카드종류, 현대카드/카드종류",""
"고객","이 검은색 가방은 가죽인가?","허정화_가방_9","B","의복의류점","가방","1","21","가방소재문의","","Q","","이 검은색 가방은 가죽인가?","","","","검은색, 가방, 가죽","","검은색/색상, 가방/제품, 가죽/재질",""
"점원","이거는 다 가죽이에요","허정화_가방_9","B","의복의류점","가방","0","22","가방소재문의","","A","","","","","이거는 다 가죽이에요","요거, 다, 가죽","","가죽/재질",""
"고객","여기 봄 신상은 언제 나와요?","허정화_가방_9","B","의복의류점","가방","1","23","신상품문의","","Q","","여기 봄 신상은 언제 나와요?","","","","여기, 봄, 신상, 언제","","봄/계절, 신상/제품",""
"점원","여기 있는 제품들이 거의 대부분 신상이에요","허정화_가방_9","B","의복의류점","가방","0","24","신상품문의","","A","","","","","여기 있는 제품들이 거의 대부분 신상이에요","여기, 제품, 거의, 대부분, 신상","","신상/제품",""
"고객","이것도 끈 달려있나요?","허정화_가방_9","B","의복의류점","가방","1","25","가방끈문의","","Q","","이것도 끈 달려있나요?","","","","이것, 끈","","끈/부품",""
"점원","네 있어요","허정화_가방_9","B","의복의류점","가방","0","26","가방끈문의","","A","","","","","네 있어요","","","",""
"고객","되게 많이 들어가죠?","허정화_가방_9","B","의복의류점","가방","1","27","가방사이즈에따른제품요청문의","","Q","","되게 많이 들어가죠?","","","","많이","","",""
"점원","네","허정화_가방_9","B","의복의류점","가방","0","28","가방사이즈에따른제품요청문의","","A","","","","","네","","","",""
"고객","이거는 가격 어떻게 돼요?","허정화_가방_9","B","의복의류점","가방","1","29","제품가격문의","","Q","","이거는 가격 어떻게 돼요?","","","","이거, 가격","","",""
"점원","이거는 398000원요","허정화_가방_9","B","의복의류점","가방","0","30","제품가격문의","","A","","","","","이거는 398000원요","이거, 398000원","","398000원/금액",""
"고객","지갑도 세일 안 하시죠 지금?","허정화_가방_9","B","의복의류점","가방","1","31","할인여부문의","","Q","","지갑도 세일 안 하시죠 지금?","","","","지갑, 세일, 지금","","지갑/제품, 세일/행사, 지금/시간",""
"점원","네","허정화_가방_9","B","의복의류점","가방","0","32","할인여부문의","","A","","","","","네","","","",""
"고객","학생 미니 지갑 찾는데 없나요?","허정화_가방_9","B","의복의류점","가방","1","33","종류별가방제품문의요청","","Q","","학생 미니 지갑 찾는데 없나요?","","","","학생, 미니 지갑","","학생/대상, 미니 지갑/제품",""
"점원","그런 거는 없어요","허정화_가방_9","B","의복의류점","가방","0","34","종류별가방제품문의요청","","A","","","","","그런 거는 없어요","","","",""
"고객","저녁에는 몇 시까지 하세요?","허정화_가방_9","B","의복의류점","가방","1","35","마감시간문의","","Q","","저녁에는 몇 시까지 하세요?","","","","저녁, 몇 시","","저녁/시간",""
"점원","9시까지 합니다","허정화_가방_9","B","의복의류점","가방","0","36","마감시간문의","","A","","","","","9시까지 합니다","9시","","9시/마감시간",""
"고객","요 브라운 가방 볼 수 있어요?","홍은민_가방_3","B","의복의류점","가방","1","1","진열제품문의","","Q","","요 브라운 가방 볼 수 있어요?","","","","브라운, 가방","","브라운/색상, 가방/제품",""
"점원","이 카멜색 말씀하시는 건가요?","홍은민_가방_3","B","의복의류점","가방","0","2","진열제품문의","제품확인","Q","","","이 카멜색 말씀하시는 건가요?","","","카멜색, 말씀","","카멜색/색상",""
"고객","네 카멜색","홍은민_가방_3","B","의복의류점","가방","1","3","진열제품문의","제품확인","A","","","","네 카멜색","","카멜색","","카멜색/색상",""
"고객","이거 소가죽이에요?","홍은민_가방_3","B","의복의류점","가방","1","4","가방소재문의","","Q","","이거 소가죽이에요?","","","","이거, 소가죽","","소가죽/재질",""
"점원","네","홍은민_가방_3","B","의복의류점","가방","0","5","가방소재문의","","A","","","","","네","","","",""
"고객","저거 카키색하고 어느 게 더 예쁜가?","홍은민_가방_3","B","의복의류점","가방","1","6","제품비교선택문의","","Q","","저거 카키색하고 어느 게 더 예쁜가?","","","","저거, 카키색","","카키색/색상",""
"점원","기본적으로 카멜이 많이 나가긴 해요","홍은민_가방_3","B","의복의류점","가방","0","7","제품비교선택문의","","A","","","","","기본적으로 카멜이 많이 나가긴 해요","기본적, 카멜","","카멜/색상",""
"고객","정장용 백인 가요?","홍은민_가방_3","B","의복의류점","가방","1","8","용도별가방요청문의","","Q","","정장용 백인 가요?","","","","정장용, 백","","정장용/용도, 백/제품",""
"점원","요즘은 캐주얼하게도 데일리 백으로 많이 메요","홍은민_가방_3","B","의복의류점","가방","0","9","용도별가방요청문의","","A","","","","","요즘은 캐주얼하게도 데일리 백으로 많이 메요","요즘, 캐주얼, 데일리 백,","","요즘/날짜, 캐주얼/스타일, 데일리 백/제품",""
"고객","이거는 얼마예요?","홍은민_가방_3","B","의복의류점","가방","1","10","제품가격문의","","Q","","이거는 얼마예요?","","","","이거, 얼마","","",""
"점원","178000원이에요","홍은민_가방_3","B","의복의류점","가방","0","11","제품가격문의","","A","","","","","178000원이에요","178000원","","178000원/금액",""
"고객","따로 할인 안 돼요?","홍은민_가방_3","B","의복의류점","가방","1","12","할인여부문의","","Q","","따로 할인 안 돼요?","","","","따로, 할인","","",""
"점원","신상 제품이라 할인 안돼요","홍은민_가방_3","B","의복의류점","가방","0","13","할인여부문의","","A","","","","","신상 제품이라 할인 안돼요","신상 제품, 할인","","신상 제품/제품",""
"고객","나온 지가 좀 됐는 모양이죠?","홍은민_가방_3","B","의복의류점","가방","1","14","이월제품문의","","Q","","나온 지가 좀 됐는 모양이죠?","","","","모양","","모양",""
"점원","네 이 시리즈는 색깔, 디테일이 계속 변화돼서 나와요","홍은민_가방_3","B","의복의류점","가방","0","15","이월제품문의","","A","","","","","네 이 시리즈는 색깔, 디테일이 계속 변화돼서 나와요","시리즈, 색깔, 디테일, 계속, 변화","","",""
"고객","끈은 가죽끈이에요 체인이에요?","홍은민_가방_3","B","의복의류점","가방","1","16","가방소재문의","","Q","","끈은 가죽끈이에요 체인이에요?","","","","끈, 가죽끈, 체인","","끈/부품, 가죽끈/부품, 체인/부품",""
"점원","끈은 가죽끈이에요 사이즈가 커서 체인은 안돼요","홍은민_가방_3","B","의복의류점","가방","0","17","가방소재문의","","A","","","","","끈은 가죽끈이에요 사이즈가 커서 체인은 안돼요","끈, 가죽끈, 사이즈, 체인","","끈/부품, 가죽끈/부품, 체인/부품",""
"고객","색깔은 검은색하고 세 가지에요?","홍은민_가방_3","B","의복의류점","가방","1","18","색상에대한문의","","Q","","색깔은 검은색하고 세 가지에요?","","","","색깔, 검은색, 세 가지","","검은색/색상, 세 가지/가짓수",""
"점원","네 보통 두 가지 정도 나오는데 올해는 세 가지 컬러 나왔어요","홍은민_가방_3","B","의복의류점","가방","0","19","색상에대한문의","","A","","","","","네 보통 두 가지 정도 나오는데 올해는 세 가지 컬러 나왔어요","보통, 두 가지, 올해, 세 가지, 컬러","","두 가지/가짓수, 올해/날짜, 세 가지/가짓수",""
